NOME,DESTAQUE_IDA_2020
ALUNO-1,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-2,
ALUNO-3,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-4,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-5,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-6,
ALUNO-7,
ALUNO-8,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-9,
ALUNO-10,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-11,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-12,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-13,
ALUNO-14,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-15,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-16,
ALUNO-17,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-18,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-19,
ALUNO-20,
ALUNO-21,
ALUNO-22,
ALUNO-23,
ALUNO-24,
ALUNO-25,
ALUNO-26,
ALUNO-27,
ALUNO-28,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-29,
ALUNO-30,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-31,
ALUNO-32,
ALUNO-33,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-34,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-35,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-36,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-37,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-38,
ALUNO-39,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-40,
ALUNO-41,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-42,
ALUNO-43,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-44,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-45,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-46,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-47,
ALUNO-48,
ALUNO-49,
ALUNO-50,
ALUNO-51,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-52,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-53,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-54,
ALUNO-55,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-56,
ALUNO-57,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-58,
ALUNO-59,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-60,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-61,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-62,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-63,
ALUNO-64,
ALUNO-65,
ALUNO-66,
ALUNO-67,
ALUNO-68,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-69,
ALUNO-70,
ALUNO-71,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-72,
ALUNO-73,
ALUNO-74,
ALUNO-75,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-76,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-77,
ALUNO-78,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-79,
ALUNO-80,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-81,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-82,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-83,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-84,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-85,Seu destaque em 2020: As suas boas notas na Passos Mágicos.
ALUNO-86,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
ALUNO-87,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
