NOME,DESTAQUE_IPV_2020
ALUNO-1,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-2,
ALUNO-3,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-4,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-5,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-6,
ALUNO-7,
ALUNO-8,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-9,
ALUNO-10,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-11,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-12,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-13,
ALUNO-14,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-15,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-16,
ALUNO-17,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-18,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-19,
ALUNO-20,
ALUNO-21,
ALUNO-22,
ALUNO-23,
ALUNO-24,
ALUNO-25,
ALUNO-26,
ALUNO-27,
ALUNO-28,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-29,
ALUNO-30,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-31,
ALUNO-32,
ALUNO-33,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-34,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-35,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-36,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-37,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-38,
ALUNO-39,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-40,
ALUNO-41,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-42,
ALUNO-43,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-44,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-45,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-46,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-47,
ALUNO-48,
ALUNO-49,
ALUNO-50,
ALUNO-51,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-52,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-53,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-54,
ALUNO-55,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-56,
ALUNO-57,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-58,
ALUNO-59,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-60,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-61,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-62,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-63,
ALUNO-64,
ALUNO-65,
ALUNO-66,
ALUNO-67,
ALUNO-68,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-69,
ALUNO-70,
ALUNO-71,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-72,
ALUNO-73,
ALUNO-74,
ALUNO-75,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-76,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-77,
ALUNO-78,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-79,
ALUNO-80,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-81,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-82,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-83,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-84,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-85,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-86,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-87,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-88,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-89,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-90,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-91,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-92,
ALUNO-93,
ALUNO-94,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-95,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-96,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-97,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-98,
ALUNO-99,
ALUNO-100,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-101,
ALUNO-102,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-103,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-104,
ALUNO-105,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-106,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-107,
ALUNO-108,
ALUNO-109,
ALUNO-110,
ALUNO-111,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-112,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-113,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-114,
ALUNO-115,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-116,
ALUNO-117,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-118,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
ALUNO-119,
ALUNO-120,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-121,
ALUNO-122,
ALUNO-123,
ALUNO-124,
ALUNO-125,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-126,
ALUNO-127,
ALUNO-128,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
ALUNO-129,
ALUNO-130,
ALUNO-131,
