NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-1,,
ALUNO-2,0,Fase 2 (5º e 6º ano)
ALUNO-3,,
ALUNO-4,2,Fase 3 (7º e 8º ano)
ALUNO-5,2,Fase 3 (7º e 8º ano)
ALUNO-6,2,Fase 2 (5º e 6º ano)
ALUNO-7,1,Fase 2 (5º e 6º ano)
ALUNO-8,5,Fase 6 (2º EM)
ALUNO-9,0,ALFA  (2º e 3º ano)
ALUNO-10,,
ALUNO-11,1,Fase 2 (5º e 6º ano)
ALUNO-12,,
ALUNO-13,,
ALUNO-14,,
ALUNO-15,,
ALUNO-16,1,Fase 2 (5º e 6º ano)
ALUNO-17,1,Fase 3 (7º e 8º ano)
ALUNO-18,4,Fase 6 (2º EM)
ALUNO-19,2,Fase 3 (7º e 8º ano)
ALUNO-20,0,ALFA  (2º e 3º ano)
ALUNO-21,3,Fase 6 (2º EM)
ALUNO-22,0,ALFA  (2º e 3º ano)
ALUNO-23,1,Fase 2 (5º e 6º ano)
ALUNO-24,2,Fase 2 (5º e 6º ano)
ALUNO-25,0,ALFA  (2º e 3º ano)
ALUNO-26,0,Fase 1 (4º ano)
ALUNO-27,2,Fase 4 (9º ano)
ALUNO-28,,
ALUNO-29,3,Fase 6 (2º EM)
ALUNO-30,0,Fase 1 (4º ano)
ALUNO-31,0,ALFA  (2º e 3º ano)
ALUNO-32,7,Fase 8 (Universitários)
ALUNO-33,,
ALUNO-34,3,Fase 4 (9º ano)
ALUNO-35,,
ALUNO-36,4,Fase 6 (2º EM)
ALUNO-37,2,Fase 3 (7º e 8º ano)
ALUNO-38,3,Fase 4 (9º ano)
ALUNO-39,,
ALUNO-40,,
ALUNO-41,,
ALUNO-42,0,ALFA  (2º e 3º ano)
ALUNO-43,,
ALUNO-44,,
ALUNO-45,2,Fase 3 (7º e 8º ano)
ALUNO-46,1,Fase 1 (4º ano)
ALUNO-47,1,Fase 2 (5º e 6º ano)
ALUNO-48,5,Fase 6 (2º EM)
ALUNO-49,0,Fase 1 (4º ano)
ALUNO-50,3,Fase 3 (7º e 8º ano)
ALUNO-51,1,Fase 2 (5º e 6º ano)
ALUNO-52,,
ALUNO-53,,
ALUNO-54,,
ALUNO-55,,
ALUNO-56,7,Fase 8 (Universitários)
ALUNO-57,,
ALUNO-58,3,Fase 4 (9º ano)
ALUNO-59,,
ALUNO-60,7,Fase 8 (Universitários)
ALUNO-61,2,Fase 3 (7º e 8º ano)
ALUNO-62,,
ALUNO-63,0,Fase 1 (4º ano)
ALUNO-64,3,Fase 5 (1º EM)
ALUNO-65,1,Fase 2 (5º e 6º ano)
ALUNO-66,3,Fase 3 (7º e 8º ano)
ALUNO-67,1,Fase 2 (5º e 6º ano)
ALUNO-68,,
ALUNO-69,0,Fase 1 (4º ano)
ALUNO-70,2,Fase 2 (5º e 6º ano)
ALUNO-71,,
ALUNO-72,0,Fase 1 (4º ano)
ALUNO-73,4,Fase 6 (2º EM)
ALUNO-74,4,Fase 5 (1º EM)
ALUNO-75,5,Fase 3 (7º e 8º ano)
ALUNO-76,1,Fase 1 (4º ano)
ALUNO-77,0,Fase 2 (5º e 6º ano)
ALUNO-78,1,Fase 3 (7º e 8º ano)
ALUNO-79,3,Fase 3 (7º e 8º ano)
ALUNO-80,2,Fase 3 (7º e 8º ano)
ALUNO-81,6,Fase 7 (3º EM)
ALUNO-82,,
ALUNO-83,5,Fase 6 (2º EM)
ALUNO-84,1,Fase 2 (5º e 6º ano)
ALUNO-85,1,Fase 2 (5º e 6º ano)
ALUNO-86,,
